LHO.IDN,LHO.KUT,LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
001E,055F63,2018060408,0800,48.52,6.68,54.08,E,1,H,80,V,72,560,77,550,640,89,96,676,0,0,0,0,0,0,0,0,2018060414
001E,055F63,2018060409,0900,57.36,9.38,58,E,1,H,80,V,125,721,119,725,697,102,123,725,0,0,0,0,0,0,0,0,2018060415
001E,055F63,2018060410,1000,58.44,10.64,59.28,E,1,H,80,V,137,724,134,741,720,124,137,737,0,0,0,0,0,0,0,0,2018060416
001E,055F63,2018060411,1100,62.46,10.42,63.92,E,1,H,80,V,128,786,126,792,746,134,133,799,0,0,0,0,0,0,0,0,2018060417
001E,055F63,2018060412,1200,60.7,10.68,66.88,E,1,H,80,V,168,836,124,772,714,124,118,713,0,0,0,0,0,0,0,0,2018060418
001E,055F63,2018060413,1300,57.7,11.36,64.88,E,1,H,80,V,121,673,124,674,811,175,148,727,0,0,0,0,0,0,0,0,2018060419
001E,055F63,2018060414,1400,63.56,11.02,67.36,E,1,H,80,V,130,772,149,811,753,126,146,842,0,0,0,0,0,0,0,0,2018060420
001E,055F63,2018060415,1500,69.76,12.1,73.84,E,1,H,80,V,142,880,175,923,836,155,133,849,0,0,0,0,0,0,0,0,2018060421
001E,055F63,2018060416,1600,76.02,14.62,81.2,E,1,H,80,V,196,974,148,899,913,169,218,1015,0,0,0,0,0,0,0,0,2018060422
001E,055F63,2018060417,1700,77.08,15.38,79.68,E,1,H,80,V,213,996,182,963,967,192,182,928,0,0,0,0,0,0,0,0,2018060423
001E,055F63,2018060418,1800,74.68,14.7,79.28,E,1,H,80,V,186,964,207,991,935,185,157,844,0,0,0,0,0,0,0,0,2018060500
001E,055F63,2018060419,1900,66.82,12.72,68.08,E,1,H,80,V,143,807,170,851,842,166,157,841,0,0,0,0,0,0,0,0,2018060501
001E,055F63,2018060420,2000,63.94,10.94,66.08,E,1,H,80,V,121,759,147,823,826,155,124,789,0,0,0,0,0,0,0,0,2018060502
001E,055F63,2018060421,2100,58.54,9.58,59.84,E,1,H,80,V,117,717,120,748,736,122,120,726,0,0,0,0,0,0,0,0,2018060503
001E,055F63,2018060422,2200,51.28,9.66,62.8,E,1,H,80,V,117,633,135,778,785,149,82,368,0,0,0,0,0,0,0,0,2018060504
001E,055F63,2018060607,0700,62.12,13.4,68,E,1,H,80,V,174,767,152,669,820,161,183,850,0,0,0,0,0,0,0,0,2018060613
001E,055F63,2018060608,0800,72.1,15.32,74.24,E,1,H,80,V,199,919,203,928,875,180,184,883,0,0,0,0,0,0,0,0,2018060614
