LHO.DHH,LHO.HME,LHO.W1,LHO.W2,LHO.W3,LHO.FCP,LHO.VER,LHO.OUM,LHO.CCK,LHO.FVL,LHO.OH245,LHO.OH145,LHO.OH230,LHO.OH130,LHO.OH115,LHO.OH215,LHO.OH200,LHO.OH100,LHO.DVL100,LHO.DVL115,LHO.DVL130,LHO.DVL145,LHO.DVL200,LHO.DVL215,LHO.DVL230,LHO.DVL245,LHO.DHT
2016042811,1100,1.56,1.34,5.52,E,1,H,80,V,23,9,5,0,69,39,0,0,0,0,0,0,0,0,0,0,2016042817
2016042812,1200,0.44,0.98,0.96,E,1,H,80,V,20,12,24,8,2,5,0,0,0,0,0,0,0,0,0,0,2016042818
2016042813,1300,1.02,2.02,2.08,E,1,H,80,V,42,21,39,26,0,3,17,4,0,0,0,0,0,0,0,0,2016042819
2016042814,1400,0.34,0.88,0.96,E,1,H,80,V,17,12,3,1,3,21,3,1,0,0,0,0,0,0,0,0,2016042820
2016042815,1500,1.48,1.06,5.92,E,1,H,80,V,0,0,0,0,0,0,53,74,0,0,0,0,0,0,0,0,2016042821
2016042914,1400,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016042920
2016042915,1500,0,0,0,E,1,H,80,V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016042921
2016042916,1600,0.02,0.16,0.08,E,1,H,80,V,1,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2016042922
2016042917,1700,0.82,2.24,1.92,E,1,H,80,V,46,15,10,2,0,0,56,24,0,0,0,0,0,0,0,0,2016042923
2016042918,1800,3,4.2,4.48,E,1,H,80,V,56,56,56,29,19,55,43,46,0,0,0,0,0,0,0,0,2016043000
2016042919,1900,6.68,4.4,10.16,E,1,H,80,V,65,97,40,67,43,34,81,127,0,0,0,0,0,0,0,0,2016043001
2016042920,2000,12.74,5.36,13.68,E,1,H,80,V,60,157,73,171,155,84,51,154,0,0,0,0,0,0,0,0,2016043002
2016042921,2100,11.58,3.2,14.32,E,1,H,80,V,31,124,34,166,179,70,25,110,0,0,0,0,0,0,0,0,2016043003
2016042922,2200,4.34,1.18,11.52,E,1,H,80,V,3,11,12,48,144,39,5,14,0,0,0,0,0,0,0,0,2016043004
2016042923,2300,1.06,0.4,1.12,E,1,H,80,V,5,14,2,11,14,7,6,14,0,0,0,0,0,0,0,0,2016043005
2016042924,2400,1.02,0.32,1.2,E,1,H,80,V,5,14,5,15,11,3,3,11,0,0,0,0,0,0,0,0,2016043006
2016042816,1600,1.94,2.26,3.76,E,1,H,80,V,12,12,42,47,27,42,17,11,0,0,0,0,0,0,0,0,2016042822
